test_bench,policy,simSeconds,simFreq,simInsts,simOps,system.l2.overallMissRate::cpu.inst,system.l2.overallMissRate::cpu.data,system.l2.overallMissRate::total
ben0,OPTRP,0.014265,1E+12,15598296,24345439,0.971877,0.969565,0.995941
ben0,LRURP,0.014265,1E+12,15598296,24345439,0.937868,0.868065,0.986339
ben0,LFURP,0.014265,1E+12,15598296,24345439,0.966645,0.968895,0.993833
ben0,RandomRP,0.014265,1E+12,15598296,24345439,0.941138,0.891423,0.987432
ben0,FIFORP,0.014265,1E+12,15598296,24345439,0.939176,0.8669,0.987198
ben1,OPTRP,0.039479,1E+12,38670314,65125559,0.430089,0.999465,0.917669
ben1,LRURP,0.039479,1E+12,38670314,65125559,0.341266,0.992763,0.89917
ben1,LFURP,0.039479,1E+12,38670314,65125559,0.428389,0.998574,0.916662
ben1,RandomRP,0.039479,1E+12,38670314,65125559,0.360603,0.993441,0.902528
ben1,FIFORP,0.039479,1E+12,38670314,65125559,0.356991,0.994296,0.902741
ben2,OPTRP,0.003326,1E+12,3247338,5622867,0.975624,0.999012,0.995941
ben2,LRURP,0.003326,1E+12,3247338,5622867,0.945303,0.992541,0.986339
ben2,LFURP,0.003326,1E+12,3247338,5622867,0.971463,0.997214,0.993833
ben2,RandomRP,0.003326,1E+12,3247338,5622867,0.949465,0.99317,0.987432
ben2,FIFORP,0.003326,1E+12,3247338,5622867,0.947087,0.99326,0.987198
ben3,OPTRP,0.030931,1E+12,32623228,52467506,0.972954,0.998939,0.995766
ben3,LRURP,0.030931,1E+12,32623228,52467506,0.93828,0.991995,0.985436
ben3,LFURP,0.030931,1E+12,32623228,52467506,0.967406,0.997299,0.993649
ben3,RandomRP,0.030931,1E+12,32623228,52467506,0.939667,0.993345,0.986791
ben3,FIFORP,0.003326,1E+12,32623228,52467506,0.939667,0.99267,0.986198
ben4,OPTRP,0.040524,1E+12,44479075,69790768,0.731541,0.962374,0.995941
ben4,LRURP,0.040524,1E+12,44479075,69790768,0.532616,0.930766,0.986339
ben4,LFURP,0.040524,1E+12,44479075,69790768,0.729032,0.960759,0.993833
ben4,RandomRP,0.040524,1E+12,44479075,69790768,0.579211,0.937616,0.987432
ben4,FIFORP,0.040524,1E+12,44479075,69790768,0.581004,0.937812,0.987198
ben5,OPTRP,0.07355,1E+12,77936873,123767548,0.978163,0.998991,0.99606
ben5,LRURP,0.07355,1E+12,77936873,123767548,0.933931,0.981383,0.974704
ben5,LFURP,0.07355,1E+12,77936873,123767548,0.974804,0.996698,0.993617
ben5,RandomRP,0.07355,1E+12,77936873,123767548,0.93617,0.985693,0.978723
ben5,FIFORP,0.07355,1E+12,77936873,123767548,0.93785,0.984593,0.978014
ben6,OPTRP,0.080843,1E+12,84210552,136864716,0.349505,0.996615,0.764796
ben6,LRURP,0.080843,1E+12,84210552,136864716,0.291969,0.986873,0.737932
ben6,LFURP,0.080843,1E+12,84210552,136864716,0.348765,0.994716,0.763313
ben6,RandomRP,0.080843,1E+12,84210552,136864716,0.300251,0.988441,0.741906
ben6,FIFORP,0.080843,1E+12,84210552,136864716,0.298772,0.987698,0.7409
ben7,OPTRP,0.016642,1E+12,18845674,28846323,0.781474,0.998879,0.965332
ben7,LRURP,0.016642,1E+12,18845674,28846323,0.71955,0.990755,0.948906
ben7,LFURP,0.016642,1E+12,18845674,28846323,0.77738,0.997199,0.963279
ben7,RandomRP,0.016642,1E+12,18845674,28846323,0.727738,0.991502,0.950802
ben7,FIFORP,0.016642,1E+12,18845674,28846323,0.72262,0.991222,0.949775
ben8,OPTRP,0.023085,1E+12,22972179,39503492,0.32256,0.99503,0.812811
ben8,LRURP,0.023085,1E+12,22972179,39503492,0.140579,0.98105,0.753308
ben8,LFURP,0.023085,1E+12,22972179,39503492,0.322059,0.994419,0.81223
ben8,RandomRP,0.023085,1E+12,22972179,39503492,0.187773,0.980333,0.765573
ben8,FIFORP,0.023085,1E+12,22972179,39503492,0.184483,0.980253,0.764624
ben9,OPTRP,0.025443,1E+12,25138433,43490586,0.946249,0.99237,0.989253
ben9,LRURP,0.025443,1E+12,25138433,43490586,0.891937,0.971105,0.965755
ben9,LFURP,0.025443,1E+12,25138433,43490586,0.942329,0.991275,0.987967
ben9,RandomRP,0.025443,1E+12,25138433,43490586,0.900896,0.971024,0.966284
ben9,FIFORP,0.025443,1E+12,25138433,43490586,0.897536,0.971146,0.966171
